Title,Author,Genre,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Date Read,Date Added,Exclusive Shelf
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Contemporary Fiction,9780593321201,0,4.26,Knopf,Hardcover,416.0,,2022/12/09,to-read
"The Four: The Hidden DNA of Amazon, Apple, Facebook, and Google",Scott Galloway,Business & Economics,9780735213654,2,3.84,Portfolio,Hardcover,320.0,,2022/12/09,read
"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,Contemporary Fiction,9781668001226,3,3.95,Atria Books,Paperback,323.0,,2022/12/07,read
Ru,Kim Thúy,Contemporary Fiction,9782867465321,0,3.79,Liana Levi,Paperback,144.0,,2022/12/01,to-read
This One Because of the Dead,Laure Baudot,Contemporary Fiction,9781770865143,3,4.43,Cormorant Books,Paperback,240.0,,2022/11/30,read
Em,Kim Thúy,Contemporary Fiction,9782764813294,5,4.13,Libre Expression,Paperback,152.0,,2022/11/30,read
The Book of Delights: Essays,Ross Gay,Essays,9781616207922,0,4.18,Algonquin Books,Hardcover,288.0,,2022/11/26,to-read
Good Girl (US Edition),Anna Fitzpatrick,Contemporary Fiction,9781770417533,0,3.59,ECW Press,Paperback,304.0,,2022/11/26,to-read
The Undoing Project: A Friendship That Changed Our Minds,Michael   Lewis,Science,9780393354775,0,3.98,W. W. Norton & Company,Paperback,368.0,,2022/11/26,to-read
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,Fantasy,9781635575606,4,4.45,Bloomsbury Publishing,Paperback,699.0,,2022/11/17,read
Bluets,Maggie Nelson,Essays,9781933517407,0,4.12,Wave Books,Paperback,112.0,,2022/11/17,to-read
"Rogues: True Stories of Grifters, Killers, Rebels and Crooks",Patrick Radden Keefe,True Crime,9780385548519,0,04.01,Doubleday,Hardcover,368.0,,2022/11/16,to-read
The Song of the Cell: The Transformation of Medicine and the New Human,Siddhartha Mukherjee,Science,9781982117351,0,4.31,Scribner,Hardcover,496.0,,2022/11/16,to-read
"The Wolf Den (Wolf Den Trilogy, #1)",Elodie Harper,Contemporary Fiction,9781454946540,0,04.08,Head of Zeus,Hardcover,464.0,,2022/11/15,to-read
Giovanni's Room,James Baldwin,Classics,9780345806567,0,4.31,Laurel,Paperback,224.0,,2022/11/15,to-read
Lonely Castle in the Mirror,Mizuki Tsujimura,Contemporary Fiction,9780857527271,0,4.31,Doubleday,Hardcover,355.0,,2022/11/14,to-read
The Better Half: On the Genetic Superiority of Women,Sharon Moalem,Science,9781250174789,0,3.98,"Farrar, Straus and Giroux",Hardcover,288.0,,2022/11/13,to-read
Afterparties,Anthony Veasna So,Contemporary Fiction,9780063049918,4,3.98,Ecco,ebook,272.0,,2022/09/16,read
Malibu Rising,Taylor Jenkins Reid,Contemporary Fiction,9780385692205,0,04.07,Ballantine Books,Hardcover,369.0,,2022/11/09,to-read
"Kim Jiyoung, Born 1982",Cho Nam-Joo,Contemporary Fiction,9781631496707,0,4.18,Liveright,Hardcover,163.0,,2022/11/08,to-read
Almond,Sohn Won-Pyung,Contemporary Fiction,9780062961372,0,4.19,HarperVia,Hardcover,272.0,,2022/11/08,to-read
Anna: The Biography,Amy Odell,Biography,9781982122638,3,3.8,Gallery Books,Hardcover,464.0,,2022/11/08,read
"Before I Let Go (Skyland, #1)",Kennedy Ryan,Contemporary Fiction,9781538706794,0,4.42,Forever,Paperback,400.0,,2022/11/03,to-read
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,Contemporary Fiction,9781501110368,4,4.27,Atria Books,Kindle Edition,386.0,,2022/07/25,read
Black Cake,Charmaine Wilkerson,Contemporary Fiction,9780593358351,0,4.13,Ballantine Books,Hardcover,385.0,,2022/11/02,to-read
The Case of the Frozen Addicts,J. William Langston,Science,9780679424659,0,4.21,Pantheon,Hardcover,309.0,,2022/10/30,to-read
Awakenings,Oliver Sacks,Science,9780375704055,0,4.11,Vintage,Paperback,464.0,,2022/10/30,to-read
Brain Storms: The Race to Unlock the Mysteries of Parkinson's Disease,Jon Palfreman,Science,9780374116170,5,4.29,"Scientific American / Farrar, Straus and Giroux",Hardcover,288.0,,2022/10/08,read
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,Fantasy,9781635575583,4,4.63,Bloomsbury Publishing,Paperback,624.0,,2022/10/24,read
Daisy Jones & The Six,Taylor Jenkins Reid,Contemporary Fiction,9781524798628,3,4.24,Ballantine Books,Hardcover,368.0,,2022/10/23,read
Happy-Go-Lucky,David Sedaris,Essays,9780316392457,0,4.22,"Little, Brown and Company",Hardcover,272.0,,2022/10/18,to-read
Naked,David Sedaris,Essays,9780316777735,0,04.09,Back Bay Books,Paperback,304.0,,2022/10/18,to-read
Book Lovers,Emily Henry,Contemporary Fiction,9780593334836,4,4.19,Berkley,Hardcover,377.0,,2022/07/26,read
Happy Place,Emily Henry,Contemporary Fiction,9780593441275,0,4.44,Berkley,Hardcover,400.0,,2022/10/17,to-read
A Tale of Two Cities,Charles Dickens,Classics,9780141439600,0,3.86,Penguin Books,Paperback,489.0,,2022/10/14,to-read
Bad Pharma: How Drug Companies Mislead Doctors and Harm Patients,Ben Goldacre,Science,9780865478008,0,4.1,"Farrar, Straus and Giroux",Hardcover,448.0,,2022/10/08,to-read
Atlas Shrugged,Ayn Rand,Classics,9780452011878,0,3.69,Plume,Paperback,1168.0,,2022/10/08,to-read
Beach Read,Emily Henry,Contemporary Fiction,9781984806734,4,04.03,Berkley,Paperback,358.0,,2022/09/20,read
People We Meet on Vacation,Emily Henry,Contemporary Fiction,9781984806758,4,3.92,Berkley,Paperback,364.0,,2022/10/05,read
The Dictionary of Lost Words,Pip Williams,Historical Fiction,9781925972597,0,04.06,Affirm Press,Paperback,384.0,,2022/10/01,to-read
The Nightingale,Kristin Hannah,Historical Fiction,9780312577223,0,4.6,St. Martin's Press,Hardcover,440.0,,2022/09/24,to-read
Homegoing,Yaa Gyasi,Historical Fiction,9780385686150,0,4.47,Alfred A. Knopf,Hardcover,305.0,,2022/09/17,to-read
Last Summer on State Street,Toya Wolfe,Contemporary Fiction,9780063209749,0,4.24,William Morrow,Hardcover,224.0,,2022/09/16,to-read
Great Circle,Maggie Shipstead,Contemporary Fiction,9781984897701,0,4.12,Knopf,Hardcover,608.0,,2022/09/16,to-read
We Are Not Like Them,Christine Pride,Contemporary Fiction,9781982181031,0,04.09,Atria Books,Hardcover,336.0,,2022/09/16,to-read
All That's Left Unsaid,Tracey Lien,Contemporary Fiction,9780063227736,0,3.95,William Morrow,Hardcover,304.0,,2022/09/16,to-read
Olga Dies Dreaming,Xóchitl González,Historical Fiction,9781250786173,0,04.01,Flatiron Books,Hardcover,369.0,,2022/09/16,to-read
In the Realm of Hungry Ghosts: Close Encounters with Addiction,Gabor Mate M.D.,Science,9780676977400,5,4.5,Knopf Canada,Hardcover,480.0,,2022/06/13,read
Just Kids,Patti Smith,Biography,9780066211312,0,4.2,Ecco,Hardcover,304.0,,2022/09/08,to-read
Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,Mark Miodownik,Science,9780544236042,0,4.11,Houghton Mifflin Harcourt,Hardcover,272.0,,2022/09/07,to-read
Unnatural Causes: The Life and Many Deaths of Britain's Top Forensic Pathologist,Richard  Shepherd,Memoir,9780718182717,4,4.33,Michael Joseph,Hardcover,400.0,,2022/07/08,read
Broad Band: The Untold Story of the Women Who Made the Internet,Claire L.  Evans,History,9780735211759,0,3.95,Portfolio,Hardcover,288.0,,2022/09/05,to-read
"The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,History,9781476708690,0,4.1,Simon and Schuster,Hardcover,542.0,,2022/09/05,to-read
Furiously Happy: A Funny Book about Horrible Things,Jenny  Lawson,Memoir,9781250077004,4,3.9,Flatiron Books,Hardcover,329.0,,2022/06/07,read
The Silent Patient,Alex Michaelides,Thriller,9781250301697,0,4.18,Celadon Books,Hardcover,336.0,,2022/09/01,to-read
"Talking to My Daughter About the Economy: or, How Capitalism Works—and How It Fails",Yanis Varoufakis,Business & Economics,9780374538491,0,4.12,"Farrar, Straus and Giroux",Kindle Edition,224.0,,2022/09/01,to-read
The Little Prince,Antoine de Saint-Exupéry,Classics,9780156012195,0,4.32,"Harcourt, Inc.",Paperback,96.0,,2022/08/31,read
All That Remains: A Life in Death,Professor Sue Black,Science,9780857524928,0,4.17,Doubleday,Hardcover,368.0,,2022/08/30,to-read
The Greatest Invention: A History of the World in Nine Mysterious Scripts,Silvia Ferrara,History,9780374601621,0,3.4,"Farrar, Straus and Giroux",Hardcover,304.0,,2022/08/30,to-read
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,Fantasy,9781635575569,4,4.2,Bloomsbury Publishing,Paperback,419.0,,2022/08/30,read
The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,Norman Doidge,Science,9780670038305,0,4.2,Viking,Hardcover,427.0,,2022/08/25,to-read
All My Rage,Sabaa Tahir,Memoir,9780593202340,0,4.55,Razorbill,Hardcover,384.0,,2022/08/23,to-read
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,Science,9780965900584,0,4.12,Alfred Knopf,Paperback,569.0,,2022/08/18,to-read
We Should Not Be Afraid of the Sky,Emma Hooper,Contemporary Fiction,9780735232747,0,3.68,Hamish Hamilton,Hardcover,320.0,,2022/08/18,to-read
Seven Days in June,Tia Williams,Contemporary Fiction,9781538719091,5,04.07,Grand Central Publishing,Hardcover,336.0,,2021/06/14,read
Slouching Towards Bethlehem,Joan Didion,Contemporary Fiction,9780374531386,0,4.19,Farrar Straus Giroux,Paperback,238.0,,2022/08/02,to-read
The Bell Jar,Sylvia Plath,Thriller,9780571200337,0,04.04,Harper Perennial Modern Classics,Paperback,294.0,,2022/07/26,to-read
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,History,9780316296618,4,04.03,"Little, Brown and Company",Hardcover,256.0,,2022/07/19,read
Concerning the Spiritual in Art,Wassily Kandinsky,Art,9780486234113,0,3.84,Dover Publications,Paperback,80.0,,2022/07/25,to-read
Know My Name,Chanel Miller,Memoir,9780735223714,0,4.72,Viking,ebook,384.0,,2022/07/25,to-read
Against Interpretation and Other Essays,Susan Sontag,Essays,9780312280864,0,4.14,Picador,Paperback,312.0,,2021/12/16,read
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,Memoir,9780060899226,5,4.13,Ecco/Harper Perennial,Paperback,312.0,,2022/05/09,read
Taste: My Life through Food,Stanley Tucci,Memoir,9781982168018,3,4.22,Gallery Books,Hardcover,291.0,,2022/05/20,read
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Contemporary Fiction,9781501139239,5,4.45,Atria Books,Hardcover,389.0,,2021/12/15,read
Principles For Dealing With the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,Self Help,9781982160272,0,4.31,Avid Reader Press / Simon & Schuster,Hardcover,576.0,,2022/07/08,to-read
"Beautiful World, Where Are You",Sally Rooney,Contemporary Fiction,9780374602604,4,3.56,"Farrar, Straus and Giroux",Hardcover,356.0,,2022/06/28,read
Deacon King Kong,James   McBride,Contemporary Fiction,9780735216723,0,4.17,Riverhead Books,Hardcover,384.0,,2022/06/27,to-read
The Bluest Eye,Toni Morrison,Classics,9780307278449,0,4.1,Vintage International,Paperback,206.0,,2022/06/27,read
The Consolations of Philosophy,Alain de Botton,Philosphy,9780679779179,0,04.01,Vintage,Paperback,265.0,,2022/06/26,to-read
"Ace: What Asexuality Reveals About Desire, Society, and the Meaning of Sex",Angela  Chen,Psycology,9780807013793,3,4.38,Beacon Press,Hardcover,210.0,,2022/06/07,read
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,History,9781620971932,5,4.52,The New Press Inc.,Hardcover,290.0,,2022/05/08,read
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,Science,9780739467350,0,04.04,W.W. Norton & Company,Paperback,498.0,,2022/06/16,to-read
The Dawn of Everything: A New History of Humanity,David Graeber,History,9780374157357,0,4.2,"Farrar, Straus and Giroux",Hardcover,692.0,,2022/06/16,to-read
Distinction: A Social Critique of the Judgement of Taste,Pierre Bourdieu,Essays,9780674212770,4,4.14,Harvard University Press,Paperback,613.0,,2022/03/17,read
Wuthering Heights,Emily Brontë,Classics,9781989201657,0,3.88,Norton,Paperback,464.0,,2022/06/08,to-read
When Breath Becomes Air,Paul Kalanithi,Memoir,9780812988406,4,4.39,Random House,Kindle Edition,208.0,,2022/04/26,read
Gut: The Inside Story of Our Body's Most Underrated Organ,Giulia Enders,Science,9781771641494,4,04.07,Greystone Books,Paperback,273.0,,2022/02/15,read
A Memoir of Jane Austen and Other Family Recollections,James Edward Austen-Leigh,Biography,9780192840745,0,3.82,Oxford University Press,Paperback,352.0,,2022/05/23,to-read
The Sympathizer,Viet Thanh Nguyen,Classics,9780802123459,0,4.0,Grove Press,Hardcover,371.0,,2022/05/23,to-read
A Room of One's Own,Virginia Woolf,Essays,9789176376010,5,4.2,Penguin Books,Paperback,112.0,,2022/04/26,read
"User Friendly: How the Hidden Rules of Design Are Changing the Way We Live, Work, and Play",Cliff Kuang,Business & Economics,9781250758200,0,4.15,MCD,Hardcover,416.0,,2022/05/17,to-read
"Nine Pints: A Journey Through the Money, Medicine, and Mysteries of Blood",Rose George,Science,9781627796378,0,3.82,Metropolitan Books,Hardcover,289.0,,2022/05/08,to-read
Changing My Mind: Occasional Essays,Zadie Smith,Essays,9781594202377,4,3.83,The Penguin Press HC,Hardcover,320.0,,2021/12/16,read
The Extended Phenotype: The Long Reach of the Gene (Popular Science),Richard Dawkins,Science,9780192880512,0,4.11,Oxford University Press,Paperback,336.0,,2022/05/04,to-read
Never Let Me Go,Kazuo Ishiguro,Contemporary Fiction,9780307400994,4,3.84,Vintage Books,Paperback,288.0,,2022/05/01,read
Intimations,Zadie Smith,Essays,9780593297612,4,04.02,Penguin Books,Paperback,97.0,,2022/03/01,read
The Waves,Virginia Woolf,Classics,9780156949606,0,4.15,Harvest Books,Paperback,297.0,,2022/04/27,to-read
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,Education,9781592402038,0,3.86,The Penguin Group,Paperback,209.0,,2022/04/26,to-read
The Glass Castle,Jeannette Walls,Memoir,9780743247542,0,4.3,Scribner,Paperback,288.0,,2022/04/26,to-read
A Brief History of Time,Stephen Hawking,Science,9780553380163,0,4.21,Bantam Books,Paperback,226.0,,2022/04/26,to-read
True Biz,Sara Nović,Contemporary Fiction,9780593241509,0,4.12,Random House,Hardcover,386.0,,2022/04/26,to-read
Conversations with Friends,Sally Rooney,Contemporary Fiction,9780451499066,4,3.79,Hogarth,Kindle Edition,304.0,,2022/04/25,read
Principles: Life and Work,Ray Dalio,Self Help,9781508243243,0,4.12,Simon & Schuster Audio,Audio CD,592.0,,2022/04/21,to-read
"The Narrow Corridor: States, Societies, and the Fate of Liberty",Daron Acemoğlu,History,9780735224384,4,4.23,Penguin,Kindle Edition,560.0,,2020/05/20,read
Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics,Tim  Marshall,Business & Economics,9781783961412,0,4.2,Elliott & Thompson,Hardcover,256.0,,2022/04/18,to-read
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,Business & Economics,9780307719218,0,04.08,Currency,Hardcover,529.0,,2022/04/18,to-read
Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty,Abhijit V. Banerjee,Business & Economics,9781586487980,0,4.28,PublicAffairs,Hardcover,320.0,,2022/04/17,to-read
Writers & Lovers,Lily King,Contemporary Fiction,9781443460385,4,04.04,Grove Press,Hardcover,320.0,,2022/01/18,read
Five Tuesdays in Winter,Lily King,Contemporary Fiction,9780802158765,0,3.75,Grove Press,Hardcover,240.0,,2022/04/13,to-read
